Timestamp,Algorithm,TP,FP,FN,Recall,Precision,F1,MOTP
4059.382,M-detector,0,1,25,0.0,0.0,0.0,0.0
4059.482,M-detector,0,2,25,0.0,0.0,0.0,0.0
4059.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4059.682,M-detector,0,2,25,0.0,0.0,0.0,0.0
4059.782,M-detector,1,2,24,0.04,0.3333333333333333,0.07142857142857142,0.4958729086523504
4059.882,M-detector,0,2,25,0.0,0.0,0.0,0.0
4059.982,M-detector,0,4,25,0.0,0.0,0.0,0.0
4060.082,M-detector,0,3,25,0.0,0.0,0.0,0.0
4060.182,M-detector,0,3,25,0.0,0.0,0.0,0.0
4060.282,M-detector,0,3,25,0.0,0.0,0.0,0.0
4060.382,M-detector,0,3,25,0.0,0.0,0.0,0.0
4060.482,M-detector,0,3,25,0.0,0.0,0.0,0.0
4060.582,M-detector,0,2,25,0.0,0.0,0.0,0.0
4060.682,M-detector,0,3,25,0.0,0.0,0.0,0.0
4060.782,M-detector,0,2,25,0.0,0.0,0.0,0.0
4060.882,M-detector,0,3,25,0.0,0.0,0.0,0.0
4060.982,M-detector,0,4,25,0.0,0.0,0.0,0.0
4061.082,M-detector,0,2,25,0.0,0.0,0.0,0.0
4061.182,M-detector,0,2,25,0.0,0.0,0.0,0.0
4061.282,M-detector,0,3,25,0.0,0.0,0.0,0.0
4061.382,M-detector,0,5,25,0.0,0.0,0.0,0.0
4061.482,M-detector,0,3,25,0.0,0.0,0.0,0.0
4061.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4061.682,M-detector,0,2,25,0.0,0.0,0.0,0.0
4061.782,M-detector,0,3,25,0.0,0.0,0.0,0.0
4061.882,M-detector,0,3,25,0.0,0.0,0.0,0.0
4061.982,M-detector,0,1,25,0.0,0.0,0.0,0.0
4062.082,M-detector,0,2,25,0.0,0.0,0.0,0.0
4062.182,M-detector,0,2,25,0.0,0.0,0.0,0.0
4062.282,M-detector,0,2,25,0.0,0.0,0.0,0.0
4062.382,M-detector,0,3,25,0.0,0.0,0.0,0.0
4062.483,M-detector,1,1,24,0.04,0.5,0.07407407407407407,0.38390241536854486
4062.582,M-detector,0,1,25,0.0,0.0,0.0,0.0
4062.682,M-detector,0,1,25,0.0,0.0,0.0,0.0
4062.782,M-detector,2,0,23,0.08,1.0,0.14814814814814814,0.5093820849067205
4062.882,M-detector,0,0,25,0.0,0.0,0.0,0.0
4062.982,M-detector,0,2,25,0.0,0.0,0.0,0.0
